Sentence,Aspect Term,polarity
"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",browser,neutral
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,network connection,negative
If this is an improvement in Customer Service then I would hate too see what it was before!,Customer Service,negative
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,neutral
"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative
""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,negative
"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge.",charge,neutral
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",Applecare,neutral
Keyboard good sized and wasy to use.,Keyboard,positive
"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",screen,positive
"I am not much of a computer techie, so I can understand some of the internal problems, though I do have trend micro as an antiviral program.",trend micro,neutral
the screen brightness automatically adjusts.,screen brightness,neutral
And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive
-Computer crashed frequently and battery life decreased very quickly.,battery life,negative
"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended).",memory stick,neutral
Windows Vista makes this computer almost unusable for online service.,online service,negative
"Everything about the Mac is not only visually appealing, but very easy to use.",use,positive
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,positive
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,positive
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive
Wonderful sleek case design is only on the outside.,case design,positive
I loaded windows 7 via Bootcamp and it works flawlessly!,Bootcamp,positive
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative
And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,ram,positive
"Most everything is fine with this machine: speed, capacity, build.",speed,positive
"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.",flatline keyboard,positive
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,positive
YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,negative
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",response,positive
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative
They are by far the easiest systems to actually learn about computers with.,systems,positive
"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive
"The only thing that can be updated is the video, other than that you're all set.",video,negative
Like the price and operation.,operation,positive
"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",speaker grill,negative
"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life,positive
"Great Laptop for the price, works well with action pack games.",action pack games,neutral
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,positive
I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard,negative
This is the complete opposite to an ergonomic design.,design,negative
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors,negative
The price and features more than met my needs.,price,positive
"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive
"  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,neutral
The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,HDMI port,negative
The first full charge of this battery got me only about 2 full hours.,full charge,negative
"Once open, the leading edge is razor sharp.",leading edge,negative
"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.",power adapter,negative
The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,build quality,positive
"  I sent it back and found this time that the battery was faulty, so I got a new one and some other fixes they found.",battery,negative
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",mic jack,negative
"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",drivers,neutral
"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Adobe Flash player,negative
Lightweight and the screen is beautiful!,screen,positive
The built-in webcam is great for Skype and similar video-chat services.,built-in webcam,positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping,positive
although its windows vista compared to windows xp sucks.,windows vista,negative
"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS,neutral
  I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.,costs,negative
Battery life needs more life.,Battery life,negative
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",toshiba customer services,negative
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,cords,negative
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,video editing,positive
"Bigger HD, better graphics card, and a bid HD.",HD,positive
"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor",Performance,negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative
"Now the screen is going darker, darker, darker.",screen,negative
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",iTunes,positive
"Because we did not purchase the extended warranty in time, we are on the hook for the repair.",extended warranty,negative
Loaded with bloatware.,bloatware,neutral
The brand is tarnished in my heart.,brand,negative
It made the computer much easier to use and navigate.,navigate,positive
PC never worked right even after BIOS fixed.,BIOS,negative
"It is absolutely horrible to use, despite all its so called advanced features.",use,negative
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,patches,negative
"The minute you fire it up it's all good, very easy user interface.",user interface,positive
For those that care about noise this thing doesn't really make any;,noise,positive
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use,positive
They only stay charged a little over an hour.,charged,negative
Sure it has the one touch keys but that was the best feature of the computer.,one touch keys,positive
"My computer froze on several occasion, had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all.",buttons,negative
"  I definitely suggest getting an extended warranty, you will probably need it!",extended warranty,positive
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,neutral
Fan noise: The fan made a constant hissing noise in the background.,Fan,negative
  the battery is irreplaceable.,battery,negative
It has a lot of memory and a great battery life.,memory,positive
so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.,setup,negative
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping,positive
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",ergonomics,negative
"Also, I issued a replacement RMA for a few dead pixels in the upper zone of the screen, which is noticable to me.",screen,negative
"the hinge design forced you to place various connections all around the computer, left right and front.",hinge design,negative
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.",resume from sleep,neutral
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",multi-touch mouse,positive
You have to toss out the wifi card and replace it just to have any sort of network capability.,wifi card,negative
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,negative
The macbooks are small enough to be very portable yet hold tons of information and performance.,performance,positive
"  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,neutral
  i have tried to charge on different batteries with no luck.,batteries,negative
"  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,negative
It really is perfect for work and play.,work,positive
this apple navigates you thru the unexplored world of the internet.,internet,neutral
"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",bios,negative
The battery life is great.,battery life,positive
"  Now I had not tried to use this since the disc drive had been replaced and after taking it back to the Geek Squad I found out they had accidently not used the right drive when they replaced the first one, so back it went to get the correct drive.",disc drive,negative
With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware,positive
Enabling the battery timer is useless.,battery timer,negative
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",iWork,neutral
"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge.",charge,negative
Fan noise: The fan made a constant hissing noise in the background.,fan,negative
The ease of use is wonderful.,use,positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,positive
"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,positive
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",applications,neutral
little short on RAM but you get what you pay for.,RAM,negative
They claim call center is still down.,call center,negative
"The battery life seems to be very good, and have had no issues with it.",battery life,positive
  The company sent me a whole new cord overnight and apologized.,cord,positive
"I was ready to take it back for a refund, but the Geek Squad camed through and pointed me in the right direction to get it fixed.",Geek Squad,positive
"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",software,negative
although its windows vista compared to windows xp sucks.,windows xp,positive
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",speed,positive
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,warranty,negative
"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.",drivers,negative
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",photo management,neutral
Supplied software: The software that comes with this machine is greatly welcomed compared to what Windows comes with.,software,positive
For the price and what I get out of it has exceeded my expectations.,price,positive
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative
the manufacturer's warranty only covers replacement/repair of parts.,warranty,negative
The start menu is not the easiest thing to navigate due to the stacking.,navigate,negative
A mac is very easy to use and it simply makes sense.,use,positive
"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",multi-touch track pad,positive
when i first got it i thought the size of it was a joke.,size,negative
We figure that after everything HIS pc actually ended up costing $350 more than my original Mac.,costing,negative
The software is amazing.,software,positive
"So what am I supposed to do?  The LG service center cannot provide me the ""service"" when it is called the ""service center"".",service center,negative
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",Sony Sonic Stage software,neutral
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",thunderbolt port,positive
I was looking for a mac which is portable and has all the features that I was looking for.,features,positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",price,positive
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",Internet tabs,positive
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.,keyboard,negative
It runs perfectly.,runs,positive
A longer battery life would have been great - but it meets it's spec quite easily.,spec,positive
HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.,extended warranties,negative
The screen shows great colors.,screen,positive
It played various games without problems and ran aero smoothly and flawlessly.,aero,neutral
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,mouse pointer,negative
"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",use,positive
Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.,windows,negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",negative
"Other installed features, such as certain printer software, are also most attractive.",printer software,positive
"I love the feel of the key board, as well as the trackpad.",key board,positive
  even though I had the receipt in front of me proving it still had 2 months left on the warranty.,warranty,negative
The first fell apart right after the 1-year-warranty.,1-year-warranty,neutral
My kids (and dogs) destroyed two power cords by pulling on them.,power cords,neutral
"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",looks,positive
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",use,positive
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,negative
"Unfortunately, Apple's quality has continued to slide.",quality,negative
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive
"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,positive
Asus facial recognition doesn't work and windows logon isn't either.,windows logon,negative
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Windows Server Enterprise 2003,neutral
Then it ceased charging at all.,charging,negative
"The battery life is amazing, the versitility is outstanding.",versitility,positive
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,OS X,neutral
I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.",Startup,neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Photoshop,neutral
"I spoke with a service rep at Micro Center and his girlfriend is having the same problem with her power adapter, so it's not just an isolated incident!!!",power adapter,negative
Sells for the same as a netbook without sacrificing size.,size,positive
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,neutral
"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",leather carrying case,neutral
"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",hard drive,neutral
Again- windows based machines were not giving me anything to work with!,windows,negative
The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7.,Windows 7,positive
so the fact that the computer does not work on the 24 twenty fourth day is my fault.,work,negative
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",cooling system,negative
-Touchpad will take a bit of time to get used to.,Touchpad,neutral
They also use two totally different operating systems.,operating systems,neutral
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",HDMI,neutral
pros:  the macbook pro notebook has a large battery life and you wont have to worry to charge your laptop every five hours or so.,battery life,positive
"It has far exceeded my expectations for power, storage, and abilitiy.",storage,positive
"The apple systems are over priced luxurys that arn't worth what they are being charged for, this model's specifications are far from being impressive and they only thing you get out of this is the apple name.",specifications,negative
"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",RAM,neutral
"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.",Applecare warranty plan,positive
I liked the aluminum body.,aluminum body,positive
"The image is great, and the soud is excelent.",soud,positive
Easy to start up and does not overheat as much as other laptops.,start up,positive
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,negative
"the mouse on the pad, the left button always sticks.",left button,negative
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",value,positive
"We love the size of the screen, although it is still lightweight and very easy to tote around.",size of the screen,positive
"Now,,,,,my monitor has been acting up for about 2 months.",monitor,negative
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,windows,negative
Theres a built in camera with special effects- for video and photography.,built in camera,positive
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,LED backlit screen,positive
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory,neutral
I have no idea how this could have even gotten past quality control during production.,quality control,negative
  The screen almost looked like a barcode when it froze.,screen,negative
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,use,positive
There was a little difficulty doing the migration as the firewire cable system can't be used with the iBook.,firewire cable system,negative
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",graphics editing,neutral
"Aside from the trial software and the short battery life, lack of a webcam, its great.",trial software,negative
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative
Excellent speed for processing data.,speed,positive
"The video card is great for media, and above average for gaming, but not a gamers first choice.",gaming,positive
I believe that the quality of a mac is worth the price.,price,positive
"Bigger HD, better graphics card, and a bid HD.",HD,positive
"It has many great programs, such as ILife, iPhotos and others.",programs,positive
"The other lock-up problems are from a myriad of causes, the most common being a corrupted version of Appleworks which can render the browser useless.",browser,negative
This wiped out several programs that were installed on the computer when it was bought.,programs,negative
Came fully loaded - good.,loaded,positive
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.",appearance,positive
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",system performance,negative
"My husband uses it mostly for games, email and music.",games,neutral
It gives me the power and speed that I need to run all the programs I use to edit.,speed,positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,positive
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS,positive
"I've owned this labtop for less then two months, already the mouse button has broke.",mouse button,negative
Clear picture on it and everything.,picture,positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,positive
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",extra features,positive
"High price tag, however.",price tag,negative
but it  has a major design flaw.,design,negative
"EITHER WAY, THE KEYBOARD IS UNSATISFACTORY.",KEYBOARD,negative
I also liked the glass screen.,glass screen,positive
I love the keyboard.,keyboard,positive
"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply.",power supply,negative
"My friend just had to replace his entire motherboard, so did my wife, and it looks like I will have to as well.",motherboard,negative
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.",specs,positive
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,wireless system,negative
"It is fast booting up , shutting down, and connection with the internet.",shutting down,positive
Another included program that is laughable is the chess game.,included program,negative
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",mouse pad,positive
"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery life,positive
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,Cords,negative
"Good keyboard, long battery life, largest hard drive and windows 7.",battery life,positive
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative
I guess he was the technical person.,technical person,neutral
Boots up fast and runs great!,runs,positive
"Love the graphics, awesome programs (including Garageband), and really cool default background.",programs,positive
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",games,neutral
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",Microsoft Office,neutral
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",keyboard,positive
"The PhotoBooth is a great program, it takes very good pictures with the built-in camera.",program,positive
"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.",Windows update,neutral
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral
Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,features,neutral
"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",touchpad,negative
  The only thing I can imagine is that Sony jumped on early specifications for Vista requirements from Microsoft and designed it to those inadequate requirements.,Vista,negative
"Then just the other day, my left ""mouse"" button snapped!","left ""mouse"" button",negative
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",video-editing,neutral
"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",surfing,positive
"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",customer support,positive
The large screen gives you the option to comfortably watch movies or TV shows on your computer instead of buying an additional TV for your dorm room.,screen,positive
It's so nice to look at and the keys are easy to type with.,look,positive
The keyboard feels good and I type just fine on it.,keyboard,positive
It is easy to go from one keyboard to another.,keyboard,neutral
i also love having the extra calculator number set up on the keyboard which most laptops do not have.,keyboard,positive
"But the quality, in general was less than the worth of the cheap laptop.",quality,negative
"everything about a mac is wonderful, it takes a little used to learning and getting used to the new system, but you will learn fast and its all worth it.",system,neutral
My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,headphone jack,negative
pretty much everything else about the computer is good it just stops working out of no were.,working,negative
Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,warranty,negative
Only thing I would want to add to this is an internal bluray read/write drive.,bluray read/write drive,negative
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,negative
"The screen graphics and clarity, and sharpness are great.",sharpness,positive
Right size and weight for portability.,weight,positive
The biggest problem is that the box had no instructions in it.,instructions,negative
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",runs,positive
Ease of use is just one of the benefits I love about my Mac.,use,positive
"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",sound,negative
"I chose the iBookG4, a laptop that is an attractive computer with a large screen big enough to please anyone.",screen,positive
and plenty of storage with 250 gb(though I will upgrade this and the ram..),ram,neutral
Memory is upgradable.,Memory,positive
Speakers doesn't sound that great.,Speakers,negative
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",battery life,negative
"Can't close the 2nd HDD bay since there are brackets you have to break off (even then, it still doesn't shut) That could be a major flaw for the dual HDD user.",HDD bay,negative
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative
"The keyboard, which generally felt okay even for someone used to a desktop keyboard, now looks terrible.",desktop keyboard,neutral
Peformance is good for the price.,Peformance,positive
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,negative
Wonderful zooming.,zooming,positive
i love the size of the computer since i play games on it.,games,neutral
Once I removed all the software the laptop loads in 15-20 seconds.,software,negative
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Garageband,neutral
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive
True quality at a great price!,quality,positive
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,OS,positive
This computer is exceptionally thin for it's screen size and processing power.,processing power,positive
The battery life is also relatively good.,battery life,positive
Not to mention the fact that your mac comes fully loaded with all necessary basic programs.,programs,positive
  Sometimes the screen even goes black on this computer.,screen,negative
This is a nicely sized laptop with lots of processing power and long battery life.,battery life,positive
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,Acer screen,negative
True quality at a great price!,price,positive
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,battery,positive
"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,positive
"This laptop looks great on the surface: 17"" inch screen, good  price-point, nice appearance, boots up quickly, runs fast etc.","17"" inch screen",positive
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,neutral
It seemed to be a very nice laptop except I was not able to load my Garmin GPS software or Microsoft Office 2003.,Microsoft Office 2003,negative
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Dreamweaver,neutral
The screen gets smeary and dusty very quickly and it's very noticeable.,screen,negative
"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",Microsoft Student Edition,negative
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,negative
") I also purchased  Applecare  for $300, which is a three year extended warranty, since I ve never seen any laptop that lasted more than two.",extended warranty,neutral
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral
The layout of the MacBook is horrible and confusing;,layout,negative
"It even has a great webcam, and Skype works very well.",webcam,positive
"It is a REAL touchpad, not the toy I saw in other brands.",touchpad,positive
"Next, most Acer laptop fans are on the bottom which is right on your laptop.",fans,neutral
Every driver on the drivers/applications DVD is everything you will need for a reload.,driver,positive
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",features,neutral
This is a nicely sized laptop with lots of processing power and long battery life.,processing power,positive
Mac also has many apps and programs that are quite cheap or free.,programs,positive
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,shut down,negative
You have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,negative
The only bad part is the size/weight.,size,negative
It's now all commodity hardware.,commodity hardware,neutral
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,negative
The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery life,positive
They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.,customer service agents,negative
I take it everywhere with me because it's so easy to carry.,carry,positive
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,performance,neutral
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,negative
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,negative
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,boot,negative
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,negative
"While it was highly rated, would I like it? I tried the keyboard at the store, and it seemed ok.",keyboard,neutral
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",screen size,negative
